reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,species,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,log10_mixing_ratio,mixing_ratio
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,4,285.032238,315.038003,4.354346481488915,22612.39074353585,-4.789208536019986,1.624768400232947e-05
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,5,288.484782,312.42081,4.205918592510551,16066.400638459874,-5.29855036518195,5.028629453941008e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,6,291.83694,309.595676,4.061806385551874,11529.391471152743,-5.848360378882759,1.4178804718663199e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,7,295.085127,306.566186,3.9221639829012602,8359.185886227406,-6.43794088671229,3.6480359819542184e-07
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,1,convective,8,297.114348,304.515454,3.83492599569514,6837.951178384154,-6.837041598047296,1.455319678957652e-07
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,0,297.214733,304.411483,3.8306103566663268,6770.3380915598855,-6.8572757876236095,1.3890702574731745e-07
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,1,302.800468,298.728948,3.590474719164657,3894.7063546166173,-7.963175417943913,1.0884903472309145e-08
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,2,305.643528,296.151192,3.468249080899417,2939.334965309042,-8.464842263366947,3.4289230310984113e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,3,308.077876,294.236697,3.363594329307923,2309.9061189521935,-8.837429376820724,1.4540208132575208e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,4,310.315038,292.770352,3.2674167764765567,1851.0441460251168,-9.122800323664347,7.537020149807105e-10
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,5,312.444645,291.637431,3.1758631072507506,1499.2121985320548,-9.343282364704503,4.5364657391665347e-10
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,6,314.577836,290.762643,3.084155358727445,1213.8229896889573,-9.513528166236496,3.065291872995577e-10
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,7,316.811413,290.092211,2.9881319281844507,973.0427657989914,-9.644003473639778,2.2698466967802322e-10
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,8,319.145375,289.626136,2.8877928586126456,772.3121347207796,-9.734708092300568,1.842009678128369e-10
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,9,321.784079,289.324979,2.7743526636842772,594.7749425089515,-9.793317395185348,1.6094689579866004e-10
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,2,non_convective,10,324.931881,289.199497,2.6390259000624763,435.53784712424016,-9.817737921836187,1.5214653921160625e-10
